Time,Athlete,Date,Location
15:14.51,Paula Fudge (GBR),1981-09-13,"Knarvik, Norway[2]"
15:13.22,Anne Audain (NZL),1982-03-17,"Auckland, New Zealand[2]"
15:08.26,Mary Decker-Slaney (USA),1982-07-05,"Eugene, Oregon, United States[2]"
14:58.89,Ingrid Kristiansen (NOR),1984-06-28,"Oslo, Norway[2]"
14:48.07,Zola Budd (GBR),1985-08-26,"London, United Kingdom[2]"
14:37.33,Ingrid Kristiansen (NOR),1986-08-05,"Stockholm, Sweden[2]"
14:36.45,Fernanda Ribeiro (POR),1995-07-22,"Hechtel, Belgium[2]"
14:31.27,Dong Yanmei (CHN),1997-10-21,"Shanghai, China[2]"
14:28.09,Jiang Bo (CHN),1997-10-23,"Shanghai, China[2]"
14:24.68,Elvan Abeylegesse (TUR),2004-06-11,"Bergen, Norway[2]"
14:24.53,Meseret Defar (ETH),2006-06-03,"New York, United States[2]"
14:16.63,Meseret Defar (ETH),2007-06-15,"Oslo, Norway[2]"
14:11.15,Tirunesh Dibaba (ETH),2008-06-06,"Oslo, Norway[2]"
14:06.62,Letesenbet Gidey (ETH),2020-10-07,"Valencia, Spain[2]"
